name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year,time
Cadillac Seville,16.5,8,350,180,4380,12.1,76,1999/2/26
Chevroelt Chevelle Malibu,16,6,250,105,3897,18.5,75,1999/2/27
Chevrolet Bel Air,15,8,350,145,4440,14,75,1999/2/28
Chevrolet Camaro,27,4,151,90,2950,17.3,82,1999/3/1
Chevrolet Caprice Classic,13,8,400,150,4464,12,73,1999/3/2
Chevrolet Caprice Classic,17,8,305,130,3840,15.4,79,1999/3/3
Chevrolet Caprice Classic,17.5,8,305,145,3880,12.5,77,1999/3/4
Chevrolet Cavalier 2-Door,34,4,112,88,2395,18,82,1999/3/5
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82,1999/3/6
Chevrolet Cavalier,28,4,112,88,2605,19.6,82,1999/3/7
Chevrolet Chevelle Concours (Wagon),,8,350,165,4142,11.5,70,1999/3/8
Chevrolet Chevelle Concours (Wagon),13,8,307,130,4098,14,72,1999/3/9
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,17,74,1999/3/10
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,13,76,1999/3/11
Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71,1999/3/12
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,1999/3/13
Chevrolet Chevette,29,4,85,52,2035,22.2,76,1999/3/14
Chevrolet Chevette,30,4,98,68,2155,16.5,78,1999/3/15
Chevrolet Chevette,30.5,4,98,63,2051,17,77,1999/3/16
Chevrolet Chevette,32.1,4,98,70,2120,15.5,80,1999/3/17
Chevrolet Citation,23.5,6,173,110,2725,12.6,81,1999/3/18
Chevrolet Citation,28,4,151,90,2678,16.5,80,1999/3/19
Chevrolet Citation,28.8,6,173,115,2595,11.3,79,1999/3/20
Chevrolet Concours,17.5,6,250,110,3520,16.4,77,1999/3/21
Chevrolet Impala,11,8,400,150,4997,14,73,1999/3/22
Chevrolet Impala,13,8,350,165,4274,12,72,1999/3/23
Chevrolet Impala,14,8,350,165,4209,12,71,1999/3/24
Chevrolet Impala,14,8,454,220,4354,9,70,1999/3/25
Chevrolet Malibu Classic (Wagon),19.2,8,267,125,3605,15,79,1999/3/26
Chevrolet Malibu,13,8,350,145,3988,13,73,1999/3/27
Chevrolet Malibu,20.5,6,200,95,3155,18.2,78,1999/3/28
Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,11.4,77,1999/3/29
Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,13.2,78,1999/3/30
Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,1999/3/31
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,1999/4/1
Chevrolet Monza 2+2,20,8,262,110,3221,13.5,75,1999/4/2
Chevrolet Nova Custom,16,6,250,100,3278,18,73,1999/4/3
Chevrolet Nova,15,6,250,100,3336,17,74,1999/4/4
Chevrolet Nova,18,6,250,105,3459,16,75,1999/4/5
Chevrolet Nova,22,6,250,105,3353,14.5,76,1999/4/6
Chevrolet Vega (Wagon),22,4,140,72,2408,19,71,1999/4/7
Chevrolet Vega 2300,28,4,140,90,2264,15.5,71,1999/4/8
Chevrolet Vega,20,4,140,90,2408,19.5,72,1999/4/9
Chevrolet Vega,21,4,140,72,2401,19.5,73,1999/4/10
Chevrolet Vega,25,4,140,75,2542,17,74,1999/4/11
Chevrolet Woody,24.5,4,98,60,2164,22.1,76,1999/4/12
Chevy C10,13,8,350,145,4055,12,76,1999/4/13
Chevy C20,10,8,307,200,4376,15,70,1999/4/14
Chevy S-10,31,4,119,82,2720,19.4,82,1999/4/15
Chrysler Cordoba,15.5,8,400,190,4325,12.2,77,1999/4/16
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,1999/4/17
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,1999/4/18
Chrysler Lebaron Town & Country (Wagon),18.5,8,360,150,3940,13,79,1999/4/19
Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,1999/4/20
Chrysler Newport Royal,13,8,400,190,4422,12.5,72,1999/4/21
Citroen DS-21 Pallas,,4,133,115,3090,17.5,70,1999/4/22
Datsun 1200,35,4,72,69,1613,18,71,1999/4/23
Datsun 200SX,23.9,4,119,97,2405,14.9,78,1999/4/24
Datsun 200SX,32.9,4,119,100,2615,14.8,81,1999/4/25
Datsun 210,31.8,4,85,65,2020,19.2,79,1999/4/26
Datsun 210,37,4,85,65,1975,19.4,81,1999/4/27
Datsun 210,40.8,4,85,65,2110,19.2,80,1999/4/28
Datsun 280ZX,32.7,6,168,132,2910,11.4,80,1999/4/29
Datsun 310 GX,38,4,91,67,1995,16.2,82,1999/4/30
Datsun 310,37.2,4,86,65,2019,16.4,80,1999/5/1
Datsun 510 (Wagon),28,4,97,92,2288,17,72,1999/5/2
Datsun 510 Hatchback,37,4,119,92,2434,15,80,1999/5/3
Datsun 510,27.2,4,119,97,2300,14.7,78,1999/5/4
Datsun 610,22,4,108,94,2379,16.5,73,1999/5/5
Datsun 710,24,4,119,97,2545,17,75,1999/5/6
Datsun 710,32,4,83,61,2003,19,74,1999/5/7
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,1999/5/8
Datsun 810,22,6,146,97,2815,14.5,77,1999/5/9
Datsun B-210,32,4,85,70,1990,17,76,1999/5/10
Datsun B210 GX,39.4,4,85,70,2070,18.6,78,1999/5/11
Datsun B210,31,4,79,67,1950,19,74,1999/5/12
Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77,1999/5/13
Datsun PL510,27,4,97,88,2130,14.5,70,1999/5/14
Datsun PL510,27,4,97,88,2130,14.5,71,1999/5/15
Dodge Aries SE,29,4,135,84,2525,16,82,1999/5/16
Dodge Aries Wagon (Wagon),25.8,4,156,92,2620,14.4,81,1999/5/17
Dodge Aspen 6,20.6,6,225,110,3360,16.6,79,1999/5/18
Dodge Aspen SE,20,6,225,100,3651,17.7,76,1999/5/19
Dodge Aspen,18.6,6,225,110,3620,18.7,78,1999/5/20
Dodge Aspen,19.1,6,225,90,3381,18.7,80,1999/5/21
Dodge Challenger SE,15,8,383,170,3563,10,70,1999/5/22
Dodge Charger 2.2,36,4,135,84,2370,13,82,1999/5/23
Dodge Colt (Wagon),28,4,98,80,2164,15,72,1999/5/24
Dodge Colt Hardtop,25,4,97.5,80,2126,17,72,1999/5/25
Dodge Colt Hatchback Custom,35.7,4,98,80,1915,14.4,79,1999/5/26
Dodge Colt M/M,33.5,4,98,83,2075,15.9,77,1999/5/27
Dodge Colt,26,4,98,79,2255,17.7,76,1999/5/28
Dodge Colt,27.9,4,156,105,2800,14.4,80,1999/5/29
Dodge Colt,28,4,90,75,2125,14.5,74,1999/5/30
Dodge Coronet Brougham,16,8,318,150,4190,13,76,1999/5/31
Dodge Coronet Custom (Wagon),14,8,318,150,4457,13.5,74,1999/6/1
Dodge Coronet Custom,15,8,318,150,3777,12.5,73,1999/6/2
Dodge D100,13,8,318,150,3755,14,76,1999/6/3
Dodge D200,11,8,318,210,4382,13.5,70,1999/6/4
Dodge Dart Custom,15,8,318,150,3399,11,73,1999/6/5
Dodge Diplomat,19.4,8,318,140,3735,13.2,78,1999/6/6
Dodge Magnum XE,17.5,8,318,140,4080,13.7,78,1999/6/7
Dodge Monaco (Wagon),12,8,383,180,4955,11.5,71,1999/6/8
Dodge Monaco Brougham,15.5,8,318,145,4140,13.7,77,1999/6/9
Dodge Omni,30.9,4,105,75,2230,14.5,78,1999/6/10
Dodge Rampage,32,4,135,84,2295,11.6,82,1999/6/11
Dodge St. Regis,18.2,8,318,135,3830,15.2,79,1999/6/12
Fiat 124 Sport Coupe,26,4,98,90,2265,15.5,73,1999/6/13
Fiat 124 TC,26,4,116,75,2246,14,74,1999/6/14
Fiat 124B,30,4,88,76,2065,14.5,71,1999/6/15
Fiat 128,24,4,90,75,2108,15.5,74,1999/6/16
Fiat 128,29,4,68,49,1867,19.5,73,1999/6/17
Fiat 131,28,4,107,86,2464,15.5,76,1999/6/18
Fiat Strada Custom,37.3,4,91,69,2130,14.7,79,1999/6/19
Fiat X1.9,31,4,79,67,2000,16,74,1999/6/20
Ford Capri II,25,4,140,92,2572,14.9,76,1999/6/21
Ford Country Squire (Wagon),13,8,400,170,4746,12,71,1999/6/22
Ford Country Squire (Wagon),15.5,8,351,142,4054,14.3,79,1999/6/23
Ford Country,12,8,400,167,4906,12.5,73,1999/6/24
Ford Escort 2H,29.9,4,98,65,2380,20.7,81,1999/6/25
Ford Escort 4W,34.4,4,98,65,2045,16.2,81,1999/6/26
Ford F108,13,8,302,130,3870,15,76,1999/6/27
Ford F250,10,8,360,215,4615,14,70,1999/6/28
Ford Fairmont (Auto),20.2,6,200,85,2965,15.8,78,1999/6/29
Ford Fairmont (Man),25.1,4,140,88,2720,15.4,78,1999/6/30
Ford Fairmont 4,22.3,4,140,88,2890,17.3,79,1999/7/1
Ford Fairmont Futura,24,4,140,92,2865,16.4,82,1999/7/2
Ford Fairmont,26.4,4,140,88,2870,18.1,80,1999/7/3
Ford Fiesta,36.1,4,98,66,1800,14.4,78,1999/7/4
Ford Futura,18.1,8,302,139,3205,11.2,78,1999/7/5
Ford Galaxie 500,14,8,351,153,4129,13,72,1999/7/6
Ford Galaxie 500,14,8,351,153,4154,13.5,71,1999/7/7
Ford Galaxie 500,15,8,429,198,4341,10,70,1999/7/8
Ford Gran Torino (Wagon),13,8,302,140,4294,16,72,1999/7/9
Ford Gran Torino (Wagon),14,8,302,140,4638,16,74,1999/7/10
Ford Gran Torino,14,8,302,137,4042,14.5,73,1999/7/11
Ford Gran Torino,14.5,8,351,152,4215,12.8,76,1999/7/12
Ford Gran Torino,16,8,302,140,4141,14,74,1999/7/13
Ford Granada Ghia,18,6,250,78,3574,21,76,1999/7/14
Ford Granada GL,20.2,6,200,88,3060,17.1,81,1999/7/15
Ford Granada L,22,6,232,112,2835,14.7,82,1999/7/16
Ford Granada,18.5,6,250,98,3525,19,77,1999/7/17
Ford LTD Landau,17.6,8,302,129,3725,13.4,79,1999/7/18
Ford LTD,13,8,351,158,4363,13,73,1999/7/19
Ford LTD,14,8,351,148,4657,13.5,75,1999/7/20
Ford Maverick,15,6,250,72,3158,19.5,75,1999/7/21
Ford Maverick,18,6,250,88,3021,16.5,73,1999/7/22
Ford Maverick,21,6,200,,2875,17,74,1999/7/23
Ford Maverick,21,6,200,85,2587,16,70,1999/7/24
Ford Maverick,24,6,200,81,3012,17.6,76,1999/7/25
Ford Mustang Boss 302,,8,302,140,3353,8,70,1999/7/26
Ford Mustang Cobra,23.6,4,140,,2905,14.3,80,1999/7/27
Ford Mustang GL,27,4,140,86,2790,15.6,82,1999/7/28
Ford Mustang II 2+2,25.5,4,140,89,2755,15.8,77,1999/7/29
Ford Mustang II,13,8,302,129,3169,12,75,1999/7/30
Ford Mustang,18,6,250,88,3139,14.5,71,1999/7/31
Ford Pinto (Wagon),22,4,122,86,2395,16,72,1999/8/1
Ford Pinto Runabout,21,4,122,86,2226,16.5,72,1999/8/2
Ford Pinto,18,6,171,97,2984,14.5,75,1999/8/3
Ford Pinto,19,4,122,85,2310,18.5,73,1999/8/4
Ford Pinto,23,4,140,83,2639,17,75,1999/8/5
Ford Pinto,25,4,98,,2046,19,71,1999/8/6
Ford Pinto,26,4,122,80,2451,16.5,74,1999/8/7
Ford Pinto,26.5,4,140,72,2565,13.6,76,1999/8/8
Ford Ranger,28,4,120,79,2625,18.6,82,1999/8/9
Ford Thunderbird,16,8,351,149,4335,14.5,77,1999/8/10
Ford Torino (Wagon),,8,351,153,4034,11,70,1999/8/11
Ford Torino 500,19,6,250,88,3302,15.5,71,1999/8/12
Ford Torino,17,8,302,140,3449,10.5,70,1999/8/13
Hi 1200D,9,8,304,193,4732,18.5,70,1999/8/14
Honda Accord CVCC,31.5,4,98,68,2045,18.5,77,1999/8/15
Honda Accord LX,29.5,4,98,68,2135,16.6,78,1999/8/16
Honda Accord,32.4,4,107,72,2290,17,80,1999/8/17
Honda Accord,36,4,107,75,2205,14.5,82,1999/8/18
Honda Civic (Auto),32,4,91,67,1965,15.7,82,1999/8/19
Honda Civic 1300,35.1,4,81,60,1760,16.1,81,1999/8/20
Honda Civic 1500 GL,44.6,4,91,67,1850,13.8,80,1999/8/21
Honda Civic CVCC,33,4,91,53,1795,17.5,75,1999/8/22
Honda Civic CVCC,36.1,4,91,60,1800,16.4,78,1999/8/23
Honda Civic,24,4,120,97,2489,15,74,1999/8/24
Honda Civic,33,4,91,53,1795,17.4,76,1999/8/25
Honda Civic,38,4,91,67,1965,15,82,1999/8/26
Honda Prelude,33.7,4,107,75,2210,14.4,81,1999/8/27
Maxda GLC Deluxe,34.1,4,86,65,1975,15.2,79,1999/8/28
Maxda RX-3,18,3,70,90,2124,13.5,73,1999/8/29
Mazda 626,31.3,4,120,75,2542,17.5,80,1999/8/30
Mazda 626,31.6,4,120,74,2635,18.3,81,1999/8/31
Mazda GLC 4,34.1,4,91,68,1985,16,81,1999/9/1
Mazda GLC Custom L,37,4,91,68,2025,18.2,82,1999/9/2
Mazda GLC Custom,31,4,91,68,1970,17.6,82,1999/9/3
Mazda GLC Deluxe,32.8,4,78,52,1985,19.4,78,1999/9/4
Mazda GLC,46.6,4,86,65,2110,17.9,80,1999/9/5
Mazda RX-2 Coupe,19,3,70,97,2330,13.5,72,1999/9/6
Mazda RX-4,21.5,3,80,110,2720,13.5,77,1999/9/7
Mazda RX-7 Gs,23.7,3,70,100,2420,12.5,80,1999/9/8
Mercedes-Benz 240D,30,4,146,67,3250,21.8,80,1999/9/9
Mercedes-Benz 280S,16.5,6,168,120,3820,16.7,76,1999/9/10
Mercedes-Benz 300D,25.4,5,183,77,3530,20.1,79,1999/9/11
Mercury Capri 2000,23,4,122,86,2220,14,71,1999/9/12
Mercury Capri V6,21,6,155,107,2472,14,73,1999/9/13
Mercury Cougar Brougham,15,8,302,130,4295,14.9,77,1999/9/14
Mercury Grand Marquis,16.5,8,351,138,3955,13.2,79,1999/9/15
Mercury Lynx L,36,4,98,70,2125,17.3,82,1999/9/16
Mercury Marquis Brougham,12,8,429,198,4952,11.5,73,1999/9/17
Mercury Marquis,11,8,429,208,4633,11,72,1999/9/18
Mercury Monarch Ghia,20.2,8,302,139,3570,12.8,78,1999/9/19
Mercury Monarch,15,6,250,72,3432,21,75,1999/9/20
Mercury Zephyr 6,19.8,6,200,85,2990,18.2,79,1999/9/21
Mercury Zephyr,20.8,6,200,85,3070,16.7,78,1999/9/22
Nissan Stanza XE,36,4,120,88,2160,14.5,82,1999/9/23
Oldsmobile Cutlass Ciera (Diesel),38,6,262,85,3015,17,82,1999/9/24
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,1999/9/25
Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365,15.5,78,1999/9/26
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,22.2,79,1999/9/27
Oldsmobile Cutlass Supreme,17,8,260,110,4060,19,77,1999/9/28
Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72,1999/9/29
Oldsmobile Omega Brougham,26.8,6,173,115,2700,12.9,79,1999/9/30
Oldsmobile Omega,11,8,350,180,3664,11,73,1999/10/1
Oldsmobile Starfire SX,23.8,4,151,85,2855,17.6,78,1999/10/2
Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,73,1999/10/3
Opel 1900,25,4,116,81,2220,16.9,76,1999/10/4
Opel 1900,28,4,116,90,2123,14,71,1999/10/5
Opel Manta,24,4,116,75,2158,15.5,73,1999/10/6
Opel Manta,26,4,97,78,2300,14.5,74,1999/10/7
Peugeot 304,30,4,79,70,2074,19.5,71,1999/10/8
Peugeot 504 (Wagon),21,4,120,87,2979,19.5,72,1999/10/9
Peugeot 504,19,4,120,88,3270,21.9,76,1999/10/10
Peugeot 504,23,4,120,88,2957,17,75,1999/10/11
Peugeot 504,25,4,110,87,2672,17.5,70,1999/10/12
Peugeot 504,27.2,4,141,71,3190,24.8,79,1999/10/13
Peugeot 505S Turbo Diesel,28.1,4,141,80,3230,20.4,81,1999/10/14
Peugeot 604SL,16.2,6,163,133,3410,15.8,78,1999/10/15
Plymouth Arrow GS,25.5,4,122,96,2300,15.5,77,1999/10/16
Plymouth Barracuda 340,14,8,340,160,3609,8,70,1999/10/17
Plymouth Champ,39,4,86,64,1875,16.4,81,1999/10/18
Plymouth Cricket,26,4,91,70,1955,20.5,71,1999/10/19
Plymouth Custom Suburb,13,8,360,170,4654,13,73,1999/10/20
Plymouth Duster,20,6,198,95,3102,16.5,74,1999/10/21
Plymouth Duster,22,6,198,95,2833,15.5,70,1999/10/22
Plymouth Duster,23,6,198,95,2904,16,73,1999/10/23
Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,73,1999/10/24
Plymouth Fury III,14,8,318,150,4096,13,71,1999/10/25
Plymouth Fury III,14,8,440,215,4312,8.5,70,1999/10/26
Plymouth Fury III,15,8,318,150,4135,13.5,72,1999/10/27
Plymouth Fury,18,6,225,95,3785,19,75,1999/10/28
Plymouth Grand Fury,16,8,318,150,4498,14.5,75,1999/10/29
Plymouth Horizon 4,34.7,4,105,63,2215,14.9,81,1999/10/30
Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,1999/10/31
Plymouth Horizon TC3,34.5,4,105,70,2150,14.9,79,1999/11/1
Plymouth Horizon,34.2,4,105,70,2200,13.2,79,1999/11/2
Plymouth Reliant,27.2,4,135,84,2490,15.7,81,1999/11/3
Plymouth Reliant,30,4,135,84,2385,12.9,81,1999/11/4
Plymouth Sapporo,23.2,4,156,105,2745,16.7,78,1999/11/5
Plymouth Satellite (Wagon),,8,383,175,4166,10.5,70,1999/11/6
Plymouth Satellite Custom (Wagon),14,8,318,150,4077,14,72,1999/11/7
Plymouth Satellite Custom,16,6,225,105,3439,15.5,71,1999/11/8
Plymouth Satellite Sebring,18,6,225,105,3613,16.5,74,1999/11/9
Plymouth Satellite,18,8,318,150,3436,11,70,1999/11/10
Plymouth Valiant Custom,19,6,225,95,3264,16,75,1999/11/11
Plymouth Valiant,18,6,225,105,3121,16.5,73,1999/11/12
Plymouth Valiant,22,6,225,100,3233,15.4,76,1999/11/13
Plymouth Volare Custom,19,6,225,100,3630,17.7,77,1999/11/14
Plymouth Volare Premier V8,13,8,318,150,3940,13.2,76,1999/11/15
Plymouth Volare,20.5,6,225,100,3430,17.2,78,1999/11/16
Pontiac Astro,23,4,140,78,2592,18.5,75,1999/11/17
Pontiac Catalina Brougham,14,8,400,175,4464,11.5,71,1999/11/18
Pontiac Catalina,14,8,400,175,4385,12,72,1999/11/19
Pontiac Catalina,14,8,455,225,4425,10,70,1999/11/20
Pontiac Catalina,16,8,400,170,4668,11.5,75,1999/11/21
Pontiac Firebird,19,6,250,100,3282,15,71,1999/11/22
Pontiac Grand Prix Lj,16,8,400,180,4220,11.1,77,1999/11/23
Pontiac Grand Prix,16,8,400,230,4278,9.5,73,1999/11/24
Pontiac J2000 Se Hatchback,31,4,112,85,2575,16.2,82,1999/11/25
Pontiac Lemans V6,21.5,6,231,115,3245,15.4,79,1999/11/26
Pontiac Phoenix LJ,19.2,6,231,105,3535,19.2,78,1999/11/27
Pontiac Phoenix,27,4,151,90,2735,18,82,1999/11/28
Pontiac Phoenix,33.5,4,151,90,2556,13.2,79,1999/11/29
Pontiac Safari (Wagon),13,8,400,175,5140,12,71,1999/11/30
Pontiac Sunbird Coupe,24.5,4,151,88,2740,16,77,1999/12/1
Pontiac Ventura Sj,18.5,6,250,110,3645,16.2,76,1999/12/2
Renault 12 (Wagon),26,4,96,69,2189,18,72,1999/12/3
Renault 12TL,27,4,101,83,2202,15.3,76,1999/12/4
Renault 18I,34.5,4,100,,2320,15.8,81,1999/12/5
Renault 5 Gtl,36,4,79,58,1825,18.6,77,1999/12/6
Renault Lecar Deluxe,40.9,4,85,,1835,17.3,80,1999/12/7
Saab 900S,,4,121,110,2800,15.4,81,1999/12/8
Saab 99E,25,4,104,95,2375,17.5,70,1999/12/9
Saab 99GLE,21.6,4,121,115,2795,15.7,78,1999/12/10
Saab 99LE,24,4,121,110,2660,14,73,1999/12/11
Saab 99LE,25,4,121,115,2671,13.5,75,1999/12/12
Subaru DL,30,4,97,67,1985,16.4,77,1999/12/13
Subaru DL,33.8,4,97,67,2145,18,80,1999/12/14
Subaru,26,4,108,93,2391,15.5,74,1999/12/15
Subaru,32.3,4,97,67,2065,17.8,81,1999/12/16
Toyota Carina,20,4,97,88,2279,19,73,1999/12/17
Toyota Celica GT Liftback,21.1,4,134,95,2515,14.8,78,1999/12/18
Toyota Celica GT,32,4,144,96,2665,13.9,82,1999/12/19
Toyota Corolla 1200,31,4,71,65,1773,19,71,1999/12/20
Toyota Corolla 1200,32,4,71,65,1836,21,74,1999/12/21
Toyota Corolla 1600 (Wagon),27,4,97,88,2100,16.5,72,1999/12/22
Toyota Corolla Liftback,26,4,97,75,2265,18.2,77,1999/12/23
Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,80,1999/12/24
Toyota Corolla,28,4,97,75,2155,16.4,76,1999/12/25
Toyota Corolla,29,4,97,75,2171,16,75,1999/12/26
Toyota Corolla,32.2,4,108,75,2265,15.2,80,1999/12/27
Toyota Corolla,32.4,4,108,75,2350,16.8,81,1999/12/28
Toyota Corolla,34,4,108,70,2245,16.9,82,1999/12/29
Toyota Corona Hardtop,24,4,113,95,2278,15.5,72,1999/12/30
Toyota Corona Liftback,29.8,4,134,90,2711,15.5,80,1999/12/31
Toyota Corona Mark II,24,4,113,95,2372,15,70,2000/1/1
Toyota Corona,24,4,134,96,2702,13.5,75,2000/1/2
Toyota Corona,25,4,113,95,2228,14,71,2000/1/3
Toyota Corona,27.5,4,134,95,2560,14.2,78,2000/1/4
Toyota Corona,31,4,76,52,1649,16.5,74,2000/1/5
Toyota Cressida,25.4,6,168,116,2900,12.6,81,2000/1/6
Toyota Mark II,19,6,156,108,2930,15.5,76,2000/1/7
Toyota Mark II,20,6,156,122,2807,13.5,73,2000/1/8
Toyota Starlet,39.1,4,79,58,1755,16.9,81,2000/1/9
Toyota Tercel,37.7,4,89,62,2050,17.3,81,2000/1/10
Toyouta Corona Mark II (Wagon),23,4,120,97,2506,14.5,72,2000/1/11
Triumph TR7 Coupe,35,4,122,88,2500,15.1,80,2000/1/12
Vokswagen Rabbit,29.8,4,89,62,1845,15.3,80,2000/1/13
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,2000/1/14
Volkswagen 411 (Wagon),22,4,121,76,2511,18,72,2000/1/15
Volkswagen Dasher (Diesel),43.4,4,90,48,2335,23.7,80,2000/1/16
Volkswagen Dasher,25,4,90,71,2223,16.5,75,2000/1/17
Volkswagen Dasher,26,4,79,67,1963,15.5,74,2000/1/18
Volkswagen Dasher,30.5,4,97,78,2190,14.1,77,2000/1/19
Volkswagen Jetta,33,4,105,74,2190,14.2,81,2000/1/20
Volkswagen Model 111,27,4,97,60,1834,19,71,2000/1/21
Volkswagen Pickup,44,4,97,52,2130,24.6,82,2000/1/22
Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,21.7,80,2000/1/23
Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,21.5,78,2000/1/24
Volkswagen Rabbit Custom,29,4,97,78,1940,14.5,77,2000/1/25
Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,79,2000/1/26
Volkswagen Rabbit L,36,4,105,74,1980,15.3,82,2000/1/27
Volkswagen Rabbit,29,4,90,70,1937,14,75,2000/1/28
Volkswagen Rabbit,29,4,90,70,1937,14.2,76,2000/1/29
Volkswagen Rabbit,29.5,4,97,71,1825,12.2,76,2000/1/30
Volkswagen Rabbit,41.5,4,98,76,2144,14.7,80,2000/1/31
Volkswagen Scirocco,31.5,4,89,71,1990,14.9,78,2000/2/1
Volkswagen Super Beetle 117,,4,97,48,1978,20,71,2000/2/2
